text,level,font_size,page,x_position,y_position,source_pdf
STEM careers.,H4,11.51,1,45.41,278.82,file04.pdf
• Promote interactions with STEM professionals to learn about,H4,11.51,1,39.68,292.33,file04.pdf
future opportunities.,H4,11.51,1,45.41,305.84,file04.pdf
• Support field experiences connected to the world outside of,H4,11.51,1,39.68,319.35,file04.pdf
the school building.,H4,11.51,1,45.41,332.86,file04.pdf
"• Signal to employers, universities, training programs, and",H4,11.51,1,39.68,346.38,file04.pdf
military that a student has completed a comprehensive course,H4,11.51,1,45.41,359.89,file04.pdf
of study in a specialized area.,H4,11.51,1,45.41,373.4,file04.pdf
"• Cultivate transferable work habits such as perseverance, goal",H4,11.51,1,39.68,386.91,file04.pdf
"setting, and self-direction.",H4,11.51,1,45.41,400.42,file04.pdf
----------------,title,26.67,1,71.79,523.57,file05.pdf
HOPE,H3,22.7,1,33.42,598.6,file05.pdf
To,H1,26.4,1,94.39,598.6,file05.pdf
SEE,H4,22.5,1,130.6,598.6,file05.pdf
Y,H1,26.4,1,175.45,598.6,file05.pdf
ou,H2,24.49,1,192.2,598.6,file05.pdf
T,H1,26.4,1,226.62,598.6,file05.pdf
!,H1,26.4,1,290.64,598.6,file05.pdf
